Match Number,Runs,Wkts,Conc,Ct,St,Opposition,Ground,Start Date,ODI Number,
103,70,-,-,0,0,v West Indies,Gwalior,21-Feb-96,ODI # 1056,
104,90,-,-,0,0,v Australia,Wankhede,27-Feb-96,ODI # 1065,
105,137,0,41,0,0,v Sri Lanka,Delhi,2-Mar-96,ODI # 1070,
106,3,0,23,1,0,v Zimbabwe,Kanpur,6-Mar-96,ODI # 1075,
107,31,0,25,0,0,v Pakistan,Bengaluru,9-Mar-96,ODI # 1078,
108,65,2,34,1,0,v Sri Lanka,Kolkata,13-Mar-96,ODI # 1081,
109,28,0,19,0,0,v Sri Lanka,Singapore,3-Apr-96,ODI # 1089,
110,100,0,18,0,0,v Pakistan,Singapore,5-Apr-96,ODI # 1091,
111,1,1,46,0,0,v Pakistan,Sharjah,12-Apr-96,ODI # 1094,
112,2,0,40,1,0,v South Africa,Sharjah,14-Apr-96,ODI # 1097,
113,118,2,40,0,0,v Pakistan,Sharjah,15-Apr-96,ODI # 1098,
114,17,-,-,0,0,v South Africa,Sharjah,17-Apr-96,ODI # 1100,
115,57,0,51,0,0,v South Africa,Sharjah,19-Apr-96,ODI # 1101,
116,30,0,44,1,0,v England,The Oval,23-May-96,ODI # 1102,
117,6,0,15,1,0,v England,Leeds,25-May-96,ODI # 1103,
118,1,0,22,0,0,v England,Manchester,26-May-96,ODI # 1104,
119,110,1,29,0,0,v Sri Lanka,Colombo (RPS),28-Aug-96,ODI # 1106,
120,40,0,20,1,0,v Zimbabwe,Colombo (SSC),1-Sep-96,ODI # 1110,
121,7,0,38,1,0,v Australia,Colombo (SSC),6-Sep-96,ODI # 1113,
122,89*,0,12,1,0,v Pakistan,Toronto,16-Sep-96,ODI # 1115,
123,20,1,35,0,0,v Pakistan,Toronto,17-Sep-96,ODI # 1116,
124,2,0,17,2,0,v Pakistan,Toronto,18-Sep-96,ODI # 1117,
125,3,1,22,0,0,v Pakistan,Toronto,21-Sep-96,ODI # 1118,
126,23,-,-,0,0,v Pakistan,Toronto,23-Sep-96,ODI # 1119,
127,11,0,28,0,0,v South Africa,Hyderabad,17-Oct-96,ODI # 1127,
128,88,1,45,2,0,v Australia,Bengaluru,21-Oct-96,ODI # 1129,
129,64,0,22,0,0,v South Africa,Jaipur,23-Oct-96,ODI # 1130,
130,28,0,13,1,0,v South Africa,Rajkot,29-Oct-96,ODI # 1132,
131,62,0,0,0,0,v Australia,Mohali,3-Nov-96,ODI # 1137,
132,67,-,-,0,0,v South Africa,Wankhede,6-Nov-96,ODI # 1138,
133,114,-,-,0,0,v South Africa,Wankhede,14-Dec-96,ODI # 1151,
134,0,-,-,1,0,v South Africa,Bloemfontein,23-Jan-97,ODI # 1167,
135,6,0,22,0,0,v Zimbabwe,Paarl,27-Jan-97,ODI # 1169,
136,1,-,-,0,0,v South Africa,Gqeberha,2-Feb-97,ODI # 1172,
137,14,0,17,0,0,v South Africa,East London,4-Feb-97,ODI # 1173,
138,41,0,11,0,0,v Zimbabwe,Centurion,7-Feb-97,ODI # 1174,
139,104,0,16,0,0,v Zimbabwe,Benoni,9-Feb-97,ODI # 1175,
140,32,-,-,0,0,v South Africa,Durban,12-Feb-97,ODI # 1176,
141,45,1,19,0,0,v South Africa,Durban,13-Feb-97,ODI # 1177,
142,13,-,-,0,0,v Zimbabwe,Bulawayo,15-Feb-97,ODI # 1178,
143,44,0,11,0,0,v West Indies,Port of Spain,26-Apr-97,ODI # 1200,
144,65*,0,4,0,0,v West Indies,Port of Spain,27-Apr-97,ODI # 1201,
145,9,1,13,0,0,v West Indies,Kingstown,30-Apr-97,ODI # 1202,
146,1,0,22,0,0,v West Indies,Bridgetown,3-May-97,ODI # 1203,
147,117,0,35,0,0,v New Zealand,Bengaluru,14-May-97,ODI # 1206,
